The	DET	the
great	ADJ	great
bell	NOUN	bell
of	ADP	of
Beaulieu	PROPN	Beaulieu
was	AUX	be
ringing	VERB	ring
.	PUNCT	.
Far	ADV	far
away	ADV	away
through	ADP	through
the	DET	the
forest	NOUN	forest
might	AUX	might
be	AUX	be
heard	VERB	hear
its	PRON	its
musical	ADJ	musical
clangor	NOUN	clangor
and	CCONJ	and
swell	NOUN	swell
.	PUNCT	.
Peat	NOUN	peat
-	PUNCT	-
cutters	NOUN	cutter
on	ADP	on
Blackdown	PROPN	Blackdown
and	CCONJ	and
fishers	NOUN	fisher
upon	SCONJ	upon
the	DET	the
Exe	PROPN	Exe
heard	VERB	hear
the	DET	the
distant	ADJ	distant
throbbing	NOUN	throbbing
rising	VERB	rise
and	CCONJ	and
falling	VERB	fall
upon	SCONJ	upon
the	DET	the
sultry	NOUN	sultry
summer	NOUN	summer
air	NOUN	air
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
common	ADJ	common
sound	NOUN	sound
in	ADP	in
those	DET	those
parts	NOUN	part
---	PUNCT	---
as	ADV	as
common	ADJ	common
as	ADP	as
the	DET	the
chatter	NOUN	chatter
of	ADP	of
the	DET	the
jays	NOUN	jay
and	CCONJ	and
the	DET	the
booming	NOUN	booming
of	ADP	of
the	DET	the
bittern	NOUN	bittern
.	PUNCT	.
Yet	CCONJ	yet
the	DET	the
fishers	NOUN	fisher
and	CCONJ	and
the	DET	the
peasants	NOUN	peasant
raised	VERB	raise
their	PRON	their
heads	NOUN	head
and	CCONJ	and
looked	VERB	look
questions	NOUN	question
at	ADP	at
each	DET	each
other	ADJ	other
,	PUNCT	,
for	ADP	for
the	DET	the
angelus	NOUN	angelus
had	AUX	have
already	ADV	already
gone	VERB	go
and	CCONJ	and
vespers	NOUN	vesper
was	VERB	be
still	ADV	still
far	ADV	far
off	ADV	off
.	PUNCT	.
Why	ADV	why
should	AUX	should
the	DET	the
great	ADJ	great
bell	NOUN	bell
of	ADP	of
Beaulieu	PROPN	Beaulieu
toll	NOUN	toll
when	ADV	when
the	DET	the
shadows	NOUN	shadow
were	VERB	be
neither	CCONJ	neither
short	ADJ	short
nor	CCONJ	nor
long?All	ADJ	long?all
round	ADP	round
the	DET	the
Abbey	PROPN	Abbey
the	DET	the
monks	NOUN	monk
were	AUX	be
trooping	VERB	troop
in	ADP	in
.	PUNCT	.
Under	ADP	under
the	DET	the
long	ADJ	long
green	ADJ	green
-	PUNCT	-
paved	VERB	pave
avenues	NOUN	avenue
of	ADP	of
gnarled	VERB	gnarl
oaks	NOUN	oak
and	CCONJ	and
of	ADP	of
lichened	VERB	lichene
beeches	VERB	beeche
the	DET	the
